Rank	Analyst	DraftSlots	PlayerRanks	Positions	Teams	Total
1	Ben Wasley - The Fantasy First Down	64	75	30	12	181
2	Kyle Stackpole	55	82	30	9	176
3	Matthew Freedman - Fantasy Life	57	73	32	11	173
4	Jason Boris - Times News	60	73	28	11	172
5	Mark Ringo - Sleepers and Busts	55	77	30	8	170
6	Peter Schrager - NFL.com	59	80	24	7	170
7	Pete Prisco - CBS Sports	52	77	28	10	167
8	Jeff Ratcliffe - FTN	55	80	24	8	167
9	Scott Smith - RotoViz	54	77	26	9	166
10	Sean Koerner - The Action Network	58	68	28	11	165
11	Brad Biggs - Chicago Tribune	55	74	28	8	165
12	Charlie Campbell - Walter Football	53	75	26	10	164
13	Francisco (Chato) Romero - Estadio Fantasy	53	75	26	10	164
14	Chris Dell - Betting Predators	48	73	34	8	163
15	Mel Kiper Jr. - ESPN	54	69	28	10	161
16	Avery Thrasher - The Branded Sports	53	71	28	9	161
17	Walter Cherepinsky - Walter Football	54	73	24	9	160
18	Rob Staton - Seahawks Draft Blog	52	72	28	8	160
19	Armando Salguero - OutKick	52	72	24	11	159
20	Brandon Murchison - RotoBaller	50	77	24	8	159
21	Trevor Sikkema - Pro Football Focus	58	70	20	10	158
22	Elisha Twerski - USA Today	48	72	30	8	158
23	Danny Kelly - The Ringer	56	68	24	9	157
24	Jacob Camenker - USA Today	56	73	20	8	157
25	Brendan Donahue - Sharp Football Analysis	50	71	28	8	157
26	Jonathan Jones - CBS Sports	48	75	26	8	157
27	James Emrick-Wilson - Armchair Scouting	47	74	28	8	157
28	Ed Birdsall - Talking Points Sports	53	71	26	7	157
29	John Daigle - Establish the Run	50	71	28	7	156
30	Lou Pickney - Draft King	52	76	22	6	156
31	David Woods - theScore	54	68	24	9	155
32	Mark Craig - Star Tribune	51	70	26	8	155
33	Andrew Wilbar - Behind the Steel Curtain	50	73	24	8	155
34	Zach Greubel - Gridiron Experts	49	72	26	8	155
35	Josh Norris - Underdog Fantasy	46	75	26	8	155
36	Albert Breer - The MMQB	43	72	32	8	155
37	Kev Wheeler - Wheel Route FF	52	71	24	7	154
38	Cody Steyaert - Yards Per Fantasy	50	70	26	7	153
39	Joey Meinerding - Fantasy Dink	45	73	28	7	153
40	NFL Nation - ESPN	53	68	24	7	152
41	Matthew Jones - Draft Examiner	49	72	24	7	152
42	Pat Fitzmaurice - FantasyPros	49	71	22	9	151
43	Brian Ford - Going For 2	45	69	28	9	151
44	Justin Weigal - Fantasy Sharks	51	77	16	7	151
45	Jody Smith - Draft Sharks	49	71	24	7	151
46	Kevin Hanson - EDSFootball	48	72	24	7	151
