Rank	Analyst	DraftSlots	PlayerRanks	Positions	Teams	Total
47	Hayden Winks - Underdog Fantasy	46	78	20	7	151
48	Anthony Amico - In the Aggregate	48	73	24	6	151
49	Ben Standig - The Athletic	45	70	30	6	151
50	Lance Zierlein - NFL.com	51	79	16	5	151
51	Russell Brown - FantasyPros	47	79	20	5	151
52	Matt Miller - ESPN	50	69	22	9	150
53	Matt Donnelly - Dynasty Vipers	44	74	24	8	150
54	Dane Brugler - The Athletic	51	74	20	5	150
55	Adam Hill - Las Vegas Review-Journal	49	74	20	6	149
56	Bradley Stalder - Player Profiler	50	68	22	8	148
57	Greg Cote - Miami Herald	49	70	22	7	148
58	Ryan McCrystal - Sharp Football Analysis	46	72	24	6	148
59	Cory Bonini - USA Today	42	80	20	6	148
60	Justin Bales - FFToday	52	70	18	7	147
61	Steve Serby - NY Post	45	73	22	7	147
62	Mike Maher - FantasyPros	41	80	20	6	147
63	Andrew Erickson - FantasyPros	48	67	24	7	146
64	Nate Bouda - NFL Trade Rumors	48	69	22	7	146
65	Vinnie Iyer - Sporting News	45	79	18	4	146
66	Jordan Reid - ESPN	49	68	20	8	145
67	Josh Edwards - CBS Sports	45	72	20	8	145
68	Steven Cheah	46	75	18	5	144
69	Jake Arthur - Sports Illustrated	45	76	18	5	144
70	Joel Klatt - Fox Sports	49	72	16	6	143
71	Tony Pauline - Pro Football Network	44	71	22	6	143
72	Site Rankings - FullTime Fantasy	48	74	16	5	143
73	Eddie Brown - SD Union Tribune	45	77	16	5	143
74	Christian D'Andrea	47	64	24	7	142
75	Ryan Noonan - 4for4	43	70	24	5	142
76	Evan Silva - Establish the Run	41	73	24	4	142
77	Joe DiTullio - The Game Haus	45	68	20	8	141
78	Tim Twentyman - DetroitLions.com	47	71	18	5	141
79	Shane Hallam - Draft Sharks	46	76	14	5	141
80	Brad Crawford - 247 Sports	47	60	24	9	140
81	Aaron St Denis - Fantasy Sports Advice Network	45	71	18	6	140
82	Jason Pruett - DRAFTPLEX	39	77	18	6	140
83	Charles McDonald - Yahoo! Sports	40	71	24	5	140
84	Brian Philipot - The Football Hub	42	65	24	8	139
85	Jason La Canfora - The Washington Post	49	65	18	7	139
86	Chris Simms - NBC Sports	43	70	20	6	139
87	Michael Renner - CBS Sports	40	63	30	6	139
88	Ari Meirov - The 33rd Team	38	74	22	5	139
89	Nate Marcum - Fantasy In Frames	48	64	20	6	138
90	Sam Farmer - LA Times	41	70	22	5	138
91	Steven Pintado - QB List	46	70	14	7	137
92	Michael Middlehurst-Schwartz	41	72	18	6	137
93	Thor Nystrom - Fantasy Life	45	68	20	4	137
94	Staff - Tankathon	45	74	14	4	137
95	Ben Allbright - KOA Colorado	41	74	18	4	137
96	Logan Ulrich - NFL Trade Rumors	39	71	24	3	137
97	Brad Beatson - Bandit Football	39	69	22	6	136
98	BR NFL Scouting Department	39	71	20	6	136
99	Garrett Podell - CBS Sports	48	67	16	5	136
100	J.T. Olson - NFL Draft Geek	44	73	14	5	136
101	Nate Davis - USA Today	42	69	18	6	135
102	Zach Brunner - FlurrySports	40	78	12	5	135
103	Derek Brown - FantasyPros	37	73	20	5	135
104	Dave Kluge - Footballguys	43	72	14	5	134
105	Benjamin Raven	45	66	16	6	133
106	Eric Edholm - NFL.com	40	61	26	6	133
107	Joe Marino - The Draft Network	40	67	20	6	133
108	Ryan Wilson - CBS Sports	34	69	24	6	133
109	Ted Chmyz - Fantasy Football Blueprint	45	62	20	5	132
110	Steve Anagnos - Double G Sports	41	63	20	7	131
111	Jimmy Kempski - Philly Voice	35	77	14	5	131
112	Luke Easterling - Athlon Sports	42	67	18	4	131
113	Andrew Lalama - RotoBaller	39	74	14	4	131
114	Jon Sauber and Josh Moyer - Centre Daily Times	41	67	14	8	130
115	Bart Wheeler - Hail to Fantasy Football	40	64	18	6	128
116	Charles Davis - NFL.com	37	71	16	4	128
117	Mike Randle - FTN	39	70	16	3	128
118	Justin Fuhr - Pro Football Mania	42	72	12	2	128
119	Chad Reuter - NFL.com	37	66	18	6	127
120	Sean Green - Sports Gambling Podcast Network	34	71	16	6	127
121	Alex Kozora - Steelers Depot	38	70	14	5	127
122	Mike Florio - ProFootballTalk	36	70	16	5	127
123	Rob Rang - Fox Sports	34	72	18	3	127
124	Kyle Crabbs - The 33rd Team	39	69	12	6	126
125	Pierre Camus - Fantasy Endgame	43	65	14	4	126
126	Staff - Draft Blaster	39	71	12	4	126
127	Ray Mencio - NFL Rough Draft	36	73	14	3	126
128	Ryan Pawloski - FanSided	38	61	20	6	125
129	Jeremy Popielarz - FTN	37	68	16	4	125
130	Justin Melo - The Draft Network	39	59	22	4	124
131	Ryan Kramer - Sports Gambling Podcast Network	41	68	10	4	123
132	Calvin Watkins - Dallas Morning News	37	70	12	4	123
133	Ellis Johnson - FantasyPros	39	67	14	3	123
134	Daniel Jeremiah - NFL.com	40	73	8	2	123
135	Rich Piazza - Fantasy Shed	37	72	10	2	121
136	Keith Sanchez	29	63	20	8	120
137	Bucky Brooks - NFL.com	34	62	16	5	117
138	Chris Trapasso - CBS Sports	32	66	14	5	117
139	Reuben Frank - NBC Sports	32	69	8	4	113
140	Cris Collinsworth - Pro Football Focus	34	62	10	5	111
141	Bob Talbot - Gridiron Experts	30	65	12	4	111
142	Kent Weyrauch - FantasyPros	36	59	10	5	110
143	Jeff Boggis - Fantasy Football Empire	30	52	14	5	101
144	PFF Staff - Pro Football Focus	21	67	10	2	100
145	Jason Kamlowsky - FantasyPros	26	52	12	3	93
