Rank	Analyst	DraftSlots	PlayerRanks	Positions	Teams	Total
1	Charlie Campbell - Walter Football	72	80	40	13	205
2	Francisco (Chato) Romero - Estadio Fantasy	79	84	30	12	205
3	Josh Norris - Underdog Fantasy	70	81	36	16	203
4	Walter Cherepinsky - Walter Football	75	83	30	12	200
5	Lou Pickney - Draft King	70	74	32	13	189
6	Ben Wasley - The Fantasy First Down	64	81	34	9	188
7	Dane Brugler - The Athletic	61	74	38	14	187
8	Jody Smith - Draft Sharks	67	79	28	12	186
9	Sean Koerner - The Action Network	66	74	34	12	186
10	Trevor Sikkema - Pro Football Focus	59	78	36	12	185
11	Jacob Camenker - USA Today	61	76	36	11	184
12	Benjamin Solak - The Draft Network	67	81	26	10	184
13	Charles Davis - NFL.com	64	77	28	14	183
14	Matthew Jones - Draft Examiner	62	76	32	13	183
15	David Woods - theScore	60	79	30	13	182
16	Joe Buscaglia - The Athletic	59	75	36	12	182
17	Steve VanDusen - Mock Draft Database	69	64	32	15	180
18	Ryan Noonan - 4for4	61	73	34	12	180
19	Brendan Donahue - Sharp Football Analysis	68	69	32	11	180
20	Matthew Freedman - Fantasy Life	60	78	28	12	178
21	Lance Zierlein - NFL.com	61	77	30	10	178
22	Rob Staton - Seahawks Draft Blog	65	73	28	11	177
23	Joe Marino - The Draft Network	62	79	28	8	177
24	Jared Smola - Draft Sharks	59	73	34	10	176
25	Kyle Crabbs - The 33rd Team	64	77	26	9	176
26	Evan Silva - Establish the Run	61	75	28	11	175
27	Jacob Infante	63	71	28	12	174
28	Justin Dodds - SleeperWire	51	76	36	10	173
29	Mike Farrell - Rivals.com	62	69	28	13	172
30	Andrew Wilbar - Behind the Steel Curtain	54	75	32	11	172
31	Steve Serby - NY Post	58	83	22	9	172
32	Kent Weyrauch - FantasyPros	58	68	32	13	171
33	Pedro Dominguez - TV Azteca	62	70	28	11	171
34	Jon Ledyard - Pewter Report	59	77	26	9	171
35	Brian Phlipot - The Football Hub	58	70	30	12	170
36	Elisha Twerski - USA Today	56	72	32	10	170
37	Shane Hallam - Draft Sharks	52	76	32	10	170
38	Sean Green - Sports Gambling Podcast Network	63	72	26	9	170
39	Eric Galko - Optimum Scouting	57	76	28	9	170
40	Ryan Wilson - CBS Sports	55	69	32	13	169
41	Anthony Staggs - 4for4	57	70	30	12	169
42	Cody Steyaert - Yards Per Fantasy	61	70	28	10	169
43	Michael Middlehurst-Schwartz	58	73	28	10	169
44	Pete Prisco - CBS Sports	63	73	26	7	169
45	Todd McShay - The Ringer	52	73	30	13	168
46	Justin Melo - The Draft Network	56	73	28	11	168
