Rank	Analyst	DraftSlots	PlayerRanks	Positions	Teams	Total
47	Elvin Ryan - FantasyPros	58	79	22	9	168
48	Nate Davis - USA Today	57	79	22	9	167
49	Jason Pruett - DRAFTPLEX	55	76	28	8	167
50	Anthony Amico - In the Aggregate	58	73	26	9	166
51	Ryan McCrystal - Sharp Football Analysis	59	73	26	8	166
52	Art Stapleton - NorthJersey.com	56	72	28	9	165
53	Ben Allbright - KOA Colorado	57	78	22	8	165
54	Ben Axelrod - WKYC	49	74	34	8	165
55	Greg Cote - Miami Herald	54	74	30	7	165
56	Jeff Risdon - RealGM	53	70	30	11	164
57	J.T. Olson - NFL Draft Geek	57	77	20	10	164
58	Peter King - NBC Sports	56	76	22	10	164
59	Chris Tomasson - Twin Cities Pioneer Press	55	76	24	9	164
60	Kevin English - Draft Sharks	53	75	28	8	164
61	Logan Lamorandier - Sports Illustrated	51	74	32	7	164
62	Chris Trapasso - CBS Sports	56	68	26	13	163
63	Les Bowen - Philly.com	52	68	32	11	163
64	Logan Ulrich - NFL Trade Rumors	55	78	24	6	163
65	Mike Tagliere - FantasyPros	58	70	24	10	162
66	Andy McNamara - Rogers Sportsnet	55	73	24	10	162
67	Nate Bouda - NFL Trade Rumors	56	72	26	8	162
68	Jason La Canfora - The Washington Post	47	74	34	7	162
69	Ken Zalis - FantasyPros	55	70	26	10	161
70	Jake Ciely - The Athletic	53	68	30	10	161
71	Staff Rankings - QB List	49	72	30	10	161
72	Albert Breer - The MMQB	52	76	22	10	160
73	Dan Kadar - Beacon Journal	49	73	28	10	160
74	John Daigle - Establish the Run	55	72	24	9	160
75	Vinnie Iyer - Sporting News	48	71	32	9	160
76	DJ Premo - Loaded Box Podcast	52	69	30	8	159
77	Jason McIntyre - Fox Sports	49	68	34	8	159
78	Seth Trachtman - Yardbarker	50	74	28	7	159
79	Staff - Draft Site	51	68	28	11	158
80	Dennis Sosic - Fantasy Six Pack	56	66	26	10	158
81	Joe Giglio - NJ.com	46	72	30	10	158
82	Jake Arthur - Sports Illustrated	52	74	24	8	158
83	Lukas Kacer - The Fantasy Stock Exchange	51	76	24	7	158
84	Peter Schrager - NFL.com	48	74	30	6	158
85	Luke Easterling - Athlon Sports	55	75	24	4	158
86	Matt Brandon - Matt Brandon	52	73	24	8	157
87	Sam Farmer - LA Times	49	70	30	8	157
88	Brad Biggs - Chicago Tribune	47	68	34	8	157
89	Jimmy Kempski - Philly Voice	49	69	28	10	156
90	Davis Mattek - Underdog Fantasy	51	75	24	6	156
91	Staff - FOX News	51	75	24	6	156
92	Eddie Brown - SD Union Tribune	50	68	26	11	155
93	Micky McKeon - Mockout	53	70	24	8	155
94	Mel Kiper Jr. - ESPN	48	69	30	8	155
95	Dylan Chappine - Wolf Sports	50	69	26	9	154
96	Ben Standig - The Athletic	53	71	22	8	154
97	Eric Froton - NBC Sports	47	73	26	8	154
98	Calvin Watkins - Dallas Morning News	45	75	28	6	154
99	Josh Edwards - CBS Sports	50	64	30	9	153
100	Ryan Kramer - Sports Gambling Podcast Network	53	75	18	7	153
101	Scott Reichel - Sports Gambling Podcast Network	53	75	18	7	153
102	Mike Kaye - NJ.com	52	71	24	6	153
103	Omar Kelly - Sun Sentinel	48	75	20	9	152
104	Brandon Murchison - RotoBaller	50	72	22	8	152
105	Jared Still - BettingPros	47	71	26	8	152
106	Kyle Yates - Yates Fantasy Football	47	77	20	8	152
107	C.J. Doon - Baltimore Sun	49	68	28	7	152
108	Bucky Brooks - NFL.com	45	80	22	5	152
109	Ryan Pawloski - FanSided	50	64	26	11	151
110	Tommy Garrett - SharpLinkHQ	52	71	20	8	151
111	Drae Harris - The Draft Network	45	77	22	7	151
112	Mikey Ostrowski - Loaded Box Podcast	53	64	28	6	151
113	Joe Rowles - Mile High Report	50	75	20	6	151
114	Mike Randle - FTN	46	71	28	6	151
115	Jerry McDonald - The Mercury News	46	68	26	10	150
116	Kevin Hanson - EDSFootball	45	73	22	10	150
117	Staff Composite - Yahoo	45	68	28	9	150
118	Will Brinson - CBS Sports	48	66	28	8	150
119	Zach Greubel - Gridiron Experts	46	70	26	8	150
120	Staff - Microsoft Sports	45	69	28	8	150
121	Dan Hope - Eleven Warriors	42	70	30	8	150
122	Andrew Erickson - FantasyPros	46	71	26	7	150
123	Sky Guasco - Razzball	46	73	24	7	150
124	Nick Klopsis - Newsday	49	70	22	8	149
125	Staff - Tankathon	46	69	26	8	149
126	John Chapman - Eat.Sleep.Fantasy	42	70	30	7	149
127	Thor Nystrom - Fantasy Life	44	73	26	6	149
128	Mauricio Gutierrez - Estadio Fantasy	48	68	24	8	148
129	Josh Friedman - Courier Post	44	77	20	7	148
130	Benjamin Klotz - Touchdown Squad	49	67	26	6	148
131	Kyle Meinke - MLive	46	68	28	6	148
132	Staff Consensus - Bleacher Report	46	72	24	6	148
133	Scott Smith - RotoViz	49	69	22	7	147
134	Pete Fiutak - College Football News	44	68	28	7	147
135	Rich Piazza - Fantasy Shed	44	69	28	6	147
136	Danny Kelly - The Ringer	45	67	24	10	146
137	Conor Orr - Sports Illustrated	46	61	30	9	146
138	A.J. Schulte	48	68	22	8	146
139	Daniel Spencer - NFL Spin Zone	42	73	24	7	146
140	Site Rankings - Gridiron Experts	50	68	22	6	146
141	Tony Pauline - Pro Football Network	44	72	24	6	146
142	Adrian Alpanseque - Estadio Fantasy	43	73	24	6	146
143	Alex Butler - UPI	40	67	30	8	145
144	Staff - DraftKings	47	67	24	7	145
145	Charley Casserly - NFL.com	46	71	22	6	145
146	Jeremy Wohlfart	50	68	22	5	145
147	Ben Volin - Boston Globe	47	73	20	5	145
148	Safid Deen	44	73	20	7	144
149	Cody Benjamin - CBS Sports	43	70	24	7	144
150	Tommy Molioo - The Undroppables	41	68	28	7	144
151	Chalk - The Undroppables	41	68	28	7	144
152	Corey Long - WalterFootball	48	66	24	6	144
153	Staff - Inside the Star	48	68	22	6	144
154	Chad Reuter - NFL.com	51	68	20	5	144
155	Staff - Draft Blaster	43	73	24	4	144
156	Mark Craig - Star Tribune	44	71	22	6	143
157	Brad Weiss - FanSided	44	72	22	5	143
158	Andrew Lalama - RotoBaller	47	65	22	8	142
159	Gerson Aguirre - Going For 2	45	65	24	8	142
160	Staff - NBC Sports Bay Area	42	68	24	8	142
161	Staff - Washington Times	44	66	26	6	142
162	Joshua Lefkowitz - FantasyData	44	66	26	6	142
163	Jonathan Jones - CBS Sports	39	69	28	6	142
164	Cameron Parker - FanSided	40	69	24	8	141
165	James Fedewa - National Fanatic	47	67	20	7	141
166	Ben Morgan - Loaded Box Podcast	48	67	20	6	141
167	Tyrell Maclachlan - True North Fantasy Football	43	72	20	6	141
168	Pat Fitzmaurice - FantasyPros	42	73	20	6	141
169	Jeremiah Jensen - KSL Sports	45	71	22	3	141
170	Matt Schauf - Draft Sharks	40	71	20	9	140
171	Bryan Fischer - Athlon Sports	51	66	16	7	140
172	Staff - My NFL Draft	41	66	26	7	140
173	Andy Vasquez - NorthJersey.com	44	71	20	5	140
174	Armando Salguero - OutKick	42	73	20	5	140
175	Patrick Sweeney - The Football Therapist	44	68	20	7	139
176	Ray Mencio - NFL Rough Draft	39	67	26	7	139
177	Bart Wheeler - Hail to Fantasy Football	39	73	20	7	139
178	Travis Seel - The Undroppables	41	74	18	6	139
179	Andy Singleton - Expand The Boxscore	48	66	20	5	139
180	Ryan O'Halloran - Denver Post	39	71	24	5	139
181	Jared Dubin - CBS Sports	37	71	26	5	139
182	Michael Fabiano - Sports Illustrated	43	68	22	5	138
183	Andersen Pickard - Prime Time Sports Talk	43	62	24	8	137
184	Staff Picks - NFL Draft Rite	43	67	20	7	137
185	D. Orlando Ledbetter - AJC	50	65	16	6	137
186	Jeff McLane - Philly.com	41	68	22	6	137
187	Chris Simms - NBC Sports	40	69	22	6	137
188	Tyler Lauletta - Business Insider	48	68	16	5	137
189	Staff Picks - Acme Packing Co.	42	71	20	4	137
190	Cris Collinsworth - Pro Football Focus	41	68	24	4	137
191	Benjamin Raven	37	65	26	8	136
192	Doug Farrar - Touchdown Wire	39	64	26	7	136
193	Daniel Jeremiah - NFL.com	40	66	24	6	136
194	Joe DiTullio - The Game Haus	40	74	16	6	136
195	Damond Talbot - Draft Diamonds	38	68	24	6	136
196	Glynn Morgan - NBC Sports	40	71	20	5	136
197	Alex Khvatov - NFL Draft Blitz	37	72	20	6	135
198	Barry Wilner - Associated Press	42	66	22	5	135
199	Geoff Hobson - Bengals.com	33	68	30	4	135
200	Randy Gurzi - NFL Spin Zone	41	66	20	6	133
201	Maurice Jones-Drew - NFL.com	36	71	20	6	133
202	Austin Thompson - Eat.Sleep.Fantasy	33	69	26	4	132
203	Hondo S. Carpenter, Sr. - Raider Maven	36	67	22	6	131
204	Dylan Licciardo - FF Gamers	34	75	18	4	131
205	Justin Bales - FFToday	42	64	22	3	131
206	Rhett Lewis - NFL.com	42	66	20	3	131
207	Jeff Kerr - CBS Sports	34	69	22	5	130
208	Karen Guregian	37	66	24	3	130
209	John McClain - Houston Chronicle	41	63	20	5	129
210	Trevor Scott - Fantasy Football From Up North	39	69	16	5	129
211	Derek Lofland - FantasyPros	41	68	16	4	129
212	Cory Bonini - USA Today	34	69	22	4	129
213	Paul Banks - The Sports Bank	40	66	16	6	128
214	Rob Rang - Fox Sports	39	66	18	5	128
215	Rod Villagomez - Sports Gambling Podcast Network	42	64	18	4	128
216	John Clayton - ESPN	34	66	24	4	128
217	Tab Bamford	38	68	14	6	126
218	Jose Ramon Llaca - Estadio Fantasy	36	62	22	6	126
219	Tim Kelly	41	63	18	4	126
220	Kev Wheeler - Wheel Route FF	37	68	18	3	126
221	Jenny Vrentas - The MMQB	33	66	20	6	125
222	Eric Edholm - NFL.com	36	71	14	4	125
223	Mike Florio - ProFootballTalk	38	59	22	5	124
224	Oliver Hodgkinson	33	68	18	5	124
225	Gilbert Manzano - Sports Illustrated	34	70	16	4	124
226	Geoffrey Arnold - Oregon Live	34	63	18	6	121
227	Matt Tabeek - Atlanta Falcons	36	62	18	5	121
228	Colby Dant - Sports Gambling Podcast Network	32	62	24	3	121
229	Darryl White - Dynasty Drunks	35	65	16	4	120
230	Brett Knight - Forbes	33	67	16	4	120
231	Phil Perry - NBC Sports Boston	33	68	16	3	120
232	Derrik Klassen - NBC Sports	33	61	20	5	119
233	Daniel Gallen - PennLive	33	63	18	5	119
234	Cynthia Frelund - NFL.com	38	63	14	4	119
235	Brad Spielberger - Pro Football Focus	36	64	14	4	118
236	Derek Dennington - The Good Old Boys	37	62	16	3	118
237	Adam Pelletier - Sports Gambling Podcast Network	32	65	18	3	118
238	Henry McKenna - For The Win	38	55	18	6	117
239	DJ Boyer - RotoBaller	36	61	16	4	117
240	Mike Tanier - Pro Football Network	32	67	14	3	116
241	Tim Bielek - cleveland.com	28	64	18	4	114
242	Steve Palazzolo - Pro Football Focus	30	57	20	4	111
243	Ethan Masel - The Fantasy Bulletin	25	61	12	2	100
244	Eric Lindberg - Player Profiler	29	57	12	1	99
