Rank	Analyst	DraftSlots	PlayerRanks	Positions	Teams	Total
83	Jeff Ratcliffe - FTN	46	70	24	4	144
84	Ryan Noonan - 4for4	42	74	22	5	143
85	Mike Fanelli - FantasyPros	39	73	22	8	142
86	Jon Ledyard - Pewter Report	45	65	26	6	142
87	J.T. Olson - NFL Draft Geek	49	67	22	4	142
88	Ben Wasley - The Fantasy First Down	42	72	24	4	142
89	Barry Wilner - Associated Press	44	63	32	3	142
90	Wilmar Chaves - Hablemos de Football	36	64	32	9	141
91	Mark Maske - The Washington Post	43	63	28	7	141
92	Charles Davis - NFL.com	38	74	22	7	141
93	Staff - Tankathon	41	72	24	4	141
94	Greg Cote - Miami Herald	46	59	28	7	140
95	Joe Rowles - Mile High Report	42	67	24	7	140
96	Ryan Wilson - CBS Sports	40	67	26	7	140
97	Jason Boris - Times News	36	73	24	7	140
98	Keith Sanchez	42	75	18	5	140
99	Mike Maher - FantasyPros	36	79	20	5	140
100	Connor Allen - FF Matrix	45	66	26	3	140
101	Patrick Sweeney - The Football Therapist	50	58	24	7	139
102	Kyle Williams - Fantasy Six Pack	47	59	26	7	139
103	Andrew Erickson - FantasyPros	45	69	18	7	139
104	Staff - My NFL Draft	42	67	24	6	139
105	Ben Allbright - KOA Colorado	39	72	22	6	139
106	Mikey Ostrowski - Loaded Box Podcast	37	66	30	6	139
107	Anthony Amico - In the Aggregate	43	68	24	4	139
108	Jason McIntyre - Fox Sports	37	66	26	9	138
109	Kyle Meinke - MLive	42	70	22	4	138
110	Dylan Sanders - USA Today	37	64	28	8	137
111	Tim Bielek - cleveland.com	36	65	30	6	137
112	Todd McShay - The Ringer	41	71	20	5	137
113	Marco Pavoloni - Rumor Mill Mock	39	74	20	4	137
114	Brian Phlipot - The Football Hub	37	76	20	4	137
115	Kevin Hanson - EDSFootball	39	69	26	3	137
116	Armando Salguero - OutKick	43	64	24	5	136
117	Bob McManaman	42	66	24	4	136
118	Eric Froton - NBC Sports	41	63	30	2	136
119	Brandon Murchison - RotoBaller	42	66	20	7	135
120	Staff - Draft Blaster	34	66	28	7	135
121	Mike Florio - ProFootballTalk	40	67	24	4	135
122	Ryan Humphries - Walk-On Radio	41	70	24	0	135
123	Les Bowen - Philly.com	42	60	26	6	134
124	Tony Pauline - Pro Football Network	40	68	20	6	134
125	Michael Renner - CBS Sports	37	69	22	6	134
126	Cris Collinsworth - Pro Football Focus	40	59	30	5	134
127	Nate Bouda - NFL Trade Rumors	36	65	28	5	134
128	Ryan O'Halloran - Denver Post	37	68	26	3	134
129	Rich Piazza - Fantasy Shed	40	66	20	7	133
130	Chris Trapasso - CBS Sports	40	66	20	7	133
131	Dylan Chappine - Wolf Sports	37	64	26	6	133
132	Logan Lamorandier - Sports Illustrated	30	74	24	5	133
133	Ric Serritella	43	62	24	4	133
134	Bucky Brooks - NFL.com	36	67	26	4	133
135	Joe Marino - The Draft Network	43	67	20	3	133
136	Jax Falcone - The Undroppables	40	65	26	2	133
137	Chris Tomasson - Twin Cities Pioneer Press	38	66	22	6	132
138	Lukas Kacer - The Fantasy Stock Exchange	38	70	20	4	132
139	Logan Ulrich - NFL Trade Rumors	41	64	24	3	132
140	Zach Brunner - FlurrySports	37	64	28	3	132
141	Jason La Canfora - The Washington Post	44	62	20	5	131
142	Geoff Hobson - Bengals.com	36	66	26	3	131
143	Mauricio Gutierrez - Estadio Fantasy	41	64	20	5	130
144	Randy Gurzi - NFL Spin Zone	32	64	28	5	129
145	Pete Fiutak - College Football News	35	66	24	4	129
146	Pete Prisco - CBS Sports	32	67	26	4	129
147	Joe Pisapia - FantasyPros	39	65	18	6	128
148	Damond Talbot - Draft Diamonds	33	66	24	5	128
149	Nate Davis - USA Today	28	69	24	6	127
150	Adam Beasley	39	60	24	4	127
151	Micky McKeon - Mockout	35	67	22	3	127
152	Cory Bonini - USA Today	33	68	20	5	126
153	Glynn Morgan - NBC Sports	32	68	24	2	126
154	Mike Hrynyshyn	36	62	20	7	125
155	Jason Reed - FanSided	40	58	22	5	125
156	Staff Rankings - Arrowhead Addict	33	59	28	5	125
157	Kyle Stackpole	31	61	28	5	125
158	Rob Staton - Seahawks Draft Blog	30	68	22	5	125
159	Andrew Wilbar - Behind the Steel Curtain	36	64	22	3	125
160	Seth Trachtman - Yardbarker	37	58	28	2	125
161	Brad Weiss - FanSided	35	63	22	4	124
162	Dylan Licciardo - FF Gamers	34	62	24	4	124
163	Ethan Masel - The Fantasy Bulletin	36	57	28	3	124
164	Will Brinson - CBS Sports	31	60	28	4	123
165	Ben Volin - Boston Globe	31	69	18	4	122
166	Jake Ciely - The Athletic	39	62	18	3	122
167	Derek Lofland - FantasyPros	37	63	14	7	121
168	Justin Melo - The Draft Network	34	57	24	6	121
169	Sawyer Hicks	33	59	24	5	121
170	Rob Rang - Fox Sports	28	67	22	4	121
171	Mike Kaye - NJ.com	33	57	26	4	120
172	Jared Dubin - CBS Sports	30	63	24	3	120
173	Alex Simpson - RiseNDraft	31	63	24	2	120
174	Drae Harris - The Draft Network	27	67	24	2	120
175	Omar Kelly - Sun Sentinel	30	61	22	6	119
176	Erik Hindenburg - Around the Block	34	60	20	5	119
177	Christian D'Andrea	29	59	28	3	119
178	Mark Craig - Star Tribune	26	65	22	4	117
179	Mike OHara - DetroitLions.com	33	58	22	3	116
180	Vinnie Iyer - Sporting News	26	60	24	5	115
181	Colby Dant - Sports Gambling Podcast Network	30	69	14	2	115
182	Ed Birdsall - Talking Points Sports	30	58	22	4	114
183	Calvin Watkins - Dallas Morning News	30	61	22	1	114
184	D. Orlando Ledbetter - AJC	35	60	16	2	113
185	Rhett Lewis - NFL.com	26	63	22	2	113
186	David Howman - SB Nation	30	57	22	3	112
187	Benjamin Raven	27	60	20	4	111
188	Site Rankings - The FF Ghost	29	54	26	2	111
189	Staff Picks - Acme Packing Co.	26	59	20	5	110
190	Doug Farrar - Touchdown Wire	28	56	22	4	110
191	Sean Green - Sports Gambling Podcast Network	29	64	14	3	110
192	Bo McBrayer - FantasyPros	30	57	16	5	108
193	Chris Simms - NBC Sports	23	59	22	2	106
194	DJ Premo - Loaded Box Podcast	31	45	26	2	104
195	Ryan Pawloski - FanSided	26	53	20	4	103
196	Connor Orr	26	52	20	2	100
197	Tim Kelly	28	55	14	2	99
198	Cam Inman - Mercury News	23	54	18	3	98
199	Alex Butler - UPI	21	55	12	3	91
200	Scott Bogman - FantasyPros	18	47	16	4	85
