Rank	Analyst	DraftSlots	PlayerRanks	Positions	Teams	Total
1	Albert Breer - The MMQB	59	77	32	9	177
2	Charlie Campbell - Walter Football	57	72	36	11	176
3	Anthony Staggs - 4for4	55	84	24	9	172
4	Matthew Freedman - Fantasy Life	53	79	30	9	171
5	Peter Schrager - NFL.com	49	80	34	6	169
6	Steven Cheah	52	70	30	16	168
7	Josh Friedman - RotoBaller	53	73	32	10	168
8	Joe DiTullio - The Game Haus	52	71	34	10	167
9	Jody Smith - Draft Sharks	47	74	34	11	166
10	Sean Koerner - The Action Network	53	76	28	9	166
11	Jimmy Kempski - Philly Voice	53	77	28	8	166
12	Andy Singleton - Expand The Boxscore	55	78	26	7	166
13	Dane Brugler - The Athletic	45	76	34	10	165
14	Mel Kiper Jr. - ESPN	53	74	30	8	165
15	Spencer Urquhart - Nola.com	55	70	32	7	164
16	Andrew Lalama - RotoBaller	52	71	30	10	163
17	Matt Miller - ESPN	53	74	30	6	163
18	Eric Edholm - NFL.com	50	74	28	10	162
19	Luke Easterling - Athlon Sports	53	63	38	8	162
20	Shane Hallam - Draft Sharks	55	75	26	6	162
21	Steve Serby - NY Post	50	77	26	8	161
22	Bryan Fischer - Athlon Sports	47	75	28	10	160
23	Michael Middlehurst-Schwartz	46	75	30	9	160
24	Jacob Camenker - USA Today	55	70	28	7	160
25	Pat Fitzmaurice - FantasyPros	54	75	22	7	158
26	Austin Gayle	56	72	26	4	158
27	BR NFL Scouting Department	52	69	26	9	156
28	Staff Consensus - Bleacher Report	52	69	26	9	156
29	Cody Steyaert - Yards Per Fantasy	49	74	24	9	156
30	Staff - Draft Site	48	75	26	7	156
31	Kyle Crabbs - The 33rd Team	52	74	24	6	156
32	Kent Weyrauch - FantasyPros	52	71	28	5	156
33	Jared Smola - Draft Sharks	47	73	26	9	155
34	Benjamin Klotz - Touchdown Squad	42	72	32	9	155
35	Scott Smith - RotoViz	41	75	28	10	154
36	Thor Nystrom - Fantasy Life	47	69	30	8	154
37	Lou Pickney - Draft King	50	67	30	7	154
38	Peter King - NBC Sports	52	72	24	6	154
39	Jonathan Jones - CBS Sports	46	70	28	9	153
40	Ryan McCrystal - Sharp Football Analysis	45	71	28	9	153
41	Lance Zierlein - NFL.com	45	73	28	7	153
42	Jason Pruett - DRAFTPLEX	42	71	34	6	153
43	Josh Norris - Underdog Fantasy	41	79	28	5	153
44	Derek Brown - FantasyPros	36	78	28	10	152
45	Eddie Brown - SD Union Tribune	47	70	26	9	152
46	Jake Ciely - The Athletic	44	76	24	8	152
47	Eric Alexander Morales Wiemer - Estadio Fantasy	44	65	36	7	152
48	Matt Donnelly - Dynasty Vipers	41	73	32	6	152
49	Dan Hope - Eleven Warriors	50	69	30	3	152
50	DALTON KATES - APEX Fantasy Leagues	47	74	22	8	151
51	Joe Schad - Palm Beach Post	42	69	32	8	151
52	Matt Schauf - Draft Sharks	54	63	28	6	151
53	Danny Kelly - The Ringer	46	77	22	6	151
54	Josh Edwards - CBS Sports	39	76	26	9	150
55	Zach Greubel - Gridiron Experts	43	68	32	7	150
56	Ken Zalis - FantasyPros	47	73	24	6	150
57	Ari Meirov - The 33rd Team	47	70	24	8	149
58	Francisco (Chato) Romero - Estadio Fantasy	46	69	26	8	149
59	Walter Cherepinsky - Walter Football	46	69	26	8	149
60	Davis Mattek - Underdog Fantasy	49	63	30	7	149
61	Sam Farmer - LA Times	44	75	24	6	149
62	Kev Wheeler - Wheel Route FF	41	71	28	8	148
63	Evan Silva - Establish the Run	40	70	30	8	148
64	Steve VanDusen - Mock Draft Database	47	68	26	7	148
65	Hayden Winks - Underdog Fantasy	45	68	28	7	148
66	Kevin English - Draft Sharks	46	74	22	6	148
67	John Daigle - Establish the Run	45	75	22	6	148
68	Justin Bales - FFToday	43	71	30	4	148
69	Ben Axelrod - WKYC	40	69	30	8	147
70	David Woods - theScore	45	67	28	7	147
71	Brendan Donahue - Sharp Football Analysis	40	75	24	7	146
72	Daniel Jeremiah - NFL.com	42	71	24	8	145
73	Tommy Garrett - SharpLinkHQ	43	76	20	6	145
74	Benjamin Solak - The Draft Network	41	74	24	6	145
75	Bart Wheeler - Hail to Fantasy Football	33	75	32	5	145
76	Ben Standig - The Athletic	38	70	26	10	144
77	Ryan Kramer - Sports Gambling Podcast Network	44	66	26	8	144
78	Adam Hill - Las Vegas Review-Journal	45	70	22	7	144
79	Elisha Twerski - USA Today	40	73	24	7	144
80	Matthew Jones - Draft Examiner	40	75	22	7	144
81	Ray Mencio - NFL Rough Draft	41	69	28	6	144
82	Trevor Sikkema - Pro Football Focus	40	73	26	5	144
