RANK	2025  MOCK DRAFTS	S	M	P
125	Nathan Cooper - Sports Info Solutions	36	5	26
125	Paul Emery - The UK Draft Fan Blog	36	5	26
125	Russell Brown - FantasyPros / LionsWire	36	5	26
125	Nick Chioccos - Nicholas’s Substack	36	5	26
134	Andrew Lalama - RotoBaller	36	4	28
134	Shane P. Hallam - Draft Sharks	36	4	28
137	Alex Ayers - The Sunday Slate	35	5	25
137	Collin Haalboom - SI / Bucs Gameday	35	5	25
137	Matt Bitonti - Footballguys	35	5	25
137	Ray Garvin - Ray Garvin YouTube	35	5	25
141	Alex Dunlap - RosterWatch	35	4	27
141	Buddy Mangine - Drafttek	35	4	27
141	Frank Coyle - Draft Insiders	35	4	27
141	Ryan Kramer - Sports Gambling Podcast	35	4	27
145	Brian Lamb - Draft Countdown	34	5	24
146	Andrew Duhan - Fantasy Football Metrics	34	4	26
146	Ethan Woodie - NFL Trade Rumors	34	4	26
146	Justin Melo - The Draft Network	34	4	26
146	Lincoln Glymph - DefyLife	34	4	26
146	Mark Morales-Smith - FantasySp	34	4	26
146	Matt De Lima - Dr. Roto	34	4	26
146	Mike Mihalovich Couch Scout	34	4	26
146	Ric Serritella - NFL Draft Bible	34	4	26
146	Robby Esch - The Huddle Report	34	4	26
146	Thor Nystrom - Fantasy Life	34	4	26
146	Tyler Forness - A TO Z Sports	34	4	26
157	Owen McCullor- The Weekly Huddle	33	5	23
158	Benjamin Robinson - Grinding the Mocks	33	4	25
158	Scott Carasik - ScarDraft	33	4	25
160	Brad Menendez - Draft Countdown	33	3	27
160	Logan Ulrich - NFL Trade Rumors	33	3	27
160	Mike Randle - FTN	33	3	27
160	Rob Rang - FOX Sports.com	33	3	27
164	Jim Wickens - Draft Professor	32	5	22
165	Chris Collinsworth - PFF	32	4	24
166	Alex Boylhart - The Huddle Report	32	3	26
166	KC Proctor - The Sunday Slate	32	3	26
166	PJ Moran - Eepiblogue	32	3	26
166	Ray Mencio - NFL Rough Draft	32	3	26
170	Dustin Brown - Fantasy Football Healers	31	4	23
171	Brian Bosarge - Draft Countdown	31	3	25
171	Jeremy Greene - ESPN Radio Asheville	31	3	25
173	David Neisz - Philly Sports Network	30	2	26
174	Bill Sparks - TWSN	27	2	23
